""	"candidate_id"	"partyfull"	"name"	"STATE"	"TwitterA"	"TwitterB"	"TwitterA_id"	"TwitterB_id"
0	69579	"Libertarian"	"Aaron Sigler"	"LA"	""	""	""	""
1	68623	"Democrat"	"Abby Broyles"	"OK"	"abbybroyles"	""	""	""
2	69576	"Democrat"	"Adrian Perkins"	"LA"	"PerkinsforLA"	""	""	""
3	69347	"Democrat"	"Al Gross"	"AK"	"DrAlGrossAK"	""	""	""
4	68360	"Constitution Party candidate"	"Al Pisano"	"NC"	""	""	""	""
5	69417	"Republican"	"Allen Waters"	"RI"	"AllenRWaters"	""	""	""
6	67552	"Democrat"	"Alyse Galvin"	"AK"	"AlyseGalvin"	""	""	""
7	66283	"Democrat"	"Amy McGrath"	"KY"	"AmyMcGrathKY"	""	""	""
8	69577	"Democrat"	"Antoine Pierce"	"LA"	"AntoinePierce"	""	""	""
9	69284	"Democrat"	"Barbara Bollier"	"KS"	"BarbaraBollier"	""	""	""
10	56805	"Democrat"	"Ben Ray Lujan"	"NM"	"SenatorLujan"	"benraylujan"	""	""
11	68832	"Democrat"	"Ben Salango"	"WV"	"BenSalango"	""	""	""
12	63262	"Republican"	"Ben Sasse"	"NE"	"SenSasse"	"BenSasse"	""	""
13	59656	"Republican"	"Bill Cassidy"	"LA"	"BillCassidy"	""	""	""
14	69233	"Republican"	"Bill Hagerty"	"TN"	"BillHagertyTN"	"SenatorHagerty"	""	""
15	68504	"Libertarian"	"Bob Walsh"	"NM"	""	""	""	""
16	69440	"Libertarian"	"Brad Barron"	"KY"	"barron_ky"	""	""	""
17	63365	"Libertarian"	"Brian Slowinski"	"GA"	"voteslowinski"	""	""	""
18	34515	"Democrat"	"Cal Cunningham"	"NC"	"CalforNC"	""	""	""
19	66340	"Democrat"	"Chris Janicek"	"NE"	"CJSenate2020"	""	""	""
20	68828	"Democrat"	"Chris Peterson"	"UT"	"PetersonLawProf"	""	""	""
21	65779	"Republican"	"Chris Sununu"	"NH"	"ChrisSununu"	"GovChrisSununu"	""	""
22	60997	"Democrat"	"Christopher Coons"	"DE"	"ChrisCoons"	""	""	""
23	28529	"Republican"	"Cindy Hyde-Smith"	"MS"	"SenHydeSmith"	"ndyhydesmith"	""	""
24	69161	"Republican"	"Corky Messner"	"NH"	"CorkyForNH"	""	""	""
25	63133	"Democrat"	"Cory Booker"	"NJ"	"CoryBooker"	""	""	""
26	60588	"Republican"	"Cory Gardner"	"CO"	"SenCoryGardner"	"CoryGardner"	""	""
27	49396	"Republican"	"Cynthia Lummis"	"WY"	"CynthiaMLummis"	"SenLummis"	""	""
28	68738	"Democrat"	"Dan Ahlers"	"SD"	"ahlers_dan"	""	""	""
29	69164	"Democrat"	"Dan Feltes"	"NH"	"DanFeltesNH"	""	""	""
30	68359	"Republican"	"Dan Forest"	"NC"	"DanForestNC"	""	""	""
31	64262	"Republican"	"Dan Sullivan"	"AK"	"SenDanSullivan"	"DanSullivan_AK"	""	""
32	68862	"Republican"	"Daniel Gade"	"VA"	"gadeforvirginia"	""	""	""
33	68829	"Libertarian"	"Daniel Rhead Cottam"	"UT"	""	""	""	""
34	69616	"Libertarian"	"Danny Malouf"	"IL"	"justdannymalouf"	""	""	""
35	69657	"Libertarian"	"Darryl Perry"	"NH"	"DarrylWPerry"	""	""	""
36	69615	"Green Party candidate"	"David Black"	"IL"	""	""	""	""
37	62186	"Green Party candidate"	"David Collins"	"TX"	"dbcgreentx"	""	""	""
38	66806	"Democrat"	"David Drew Knight"	"LA"	"ddrewknight"	""	""	""
39	69625	"Libertarian"	"David L. Rogers"	"DE"	""	""	""	""
40	62658	"Libertarian"	"David Moran"	"WV"	""	""	""	""
41	63347	"Republican"	"David Perdue"	"GA"	"Perduesenate"	"ndavidperdue"	""	""
42	58743	"Democrat"	"David Zuckerman"	"VT"	"DaveZuckermanVT"	""	""	""
43	65597	"Democrat"	"Derrick Edwards"	"LA"	"D_EdwardsLA"	""	""	""
44	513	"Republican"	"Don Young"	"AK"	"DonYoungAK"	""	""	""
45	69533	"Libertarian"	"Donald Rainwater II"	"IN"	"RainwaterForIN"	""	""	""
46	8639	"Republican"	"Donald Trump"	"AK"	"RealDonaldTrump"	""	""	""
47	8639	"Republican"	"Donald Trump"	"AL"	"RealDonaldTrump"	""	""	""
48	8639	"Republican"	"Donald Trump"	"AR"	"RealDonaldTrump"	""	""	""
49	8639	"Republican"	"Donald Trump"	"AZ"	"RealDonaldTrump"	""	""	""
50	8639	"Republican"	"Donald Trump"	"CA"	"RealDonaldTrump"	""	""	""
51	8639	"Republican"	"Donald Trump"	"CO"	"RealDonaldTrump"	""	""	""
52	8639	"Republican"	"Donald Trump"	"CT"	"RealDonaldTrump"	""	""	""
53	8639	"Republican"	"Donald Trump"	"DE"	"RealDonaldTrump"	""	""	""
54	8639	"Republican"	"Donald Trump"	"FL"	"RealDonaldTrump"	""	""	""
55	8639	"Republican"	"Donald Trump"	"GA"	"RealDonaldTrump"	""	""	""
56	8639	"Republican"	"Donald Trump"	"HI"	"RealDonaldTrump"	""	""	""
57	8639	"Republican"	"Donald Trump"	"IA"	"RealDonaldTrump"	""	""	""
58	8639	"Republican"	"Donald Trump"	"ID"	"RealDonaldTrump"	""	""	""
59	8639	"Republican"	"Donald Trump"	"IL"	"RealDonaldTrump"	""	""	""
60	8639	"Republican"	"Donald Trump"	"IN"	"RealDonaldTrump"	""	""	""
61	8639	"Republican"	"Donald Trump"	"KS"	"RealDonaldTrump"	""	""	""
62	8639	"Republican"	"Donald Trump"	"KY"	"RealDonaldTrump"	""	""	""
63	8639	"Republican"	"Donald Trump"	"LA"	"RealDonaldTrump"	""	""	""
64	8639	"Republican"	"Donald Trump"	"MA"	"RealDonaldTrump"	""	""	""
65	8639	"Republican"	"Donald Trump"	"MD"	"RealDonaldTrump"	""	""	""
66	8639	"Republican"	"Donald Trump"	"ME"	"RealDonaldTrump"	""	""	""
67	8639	"Republican"	"Donald Trump"	"MI"	"RealDonaldTrump"	""	""	""
68	8639	"Republican"	"Donald Trump"	"MN"	"RealDonaldTrump"	""	""	""
69	8639	"Republican"	"Donald Trump"	"MO"	"RealDonaldTrump"	""	""	""
70	8639	"Republican"	"Donald Trump"	"MS"	"RealDonaldTrump"	""	""	""
71	8639	"Republican"	"Donald Trump"	"MT"	"RealDonaldTrump"	""	""	""
72	8639	"Republican"	"Donald Trump"	"NC"	"RealDonaldTrump"	""	""	""
73	8639	"Republican"	"Donald Trump"	"ND"	"RealDonaldTrump"	""	""	""
74	8639	"Republican"	"Donald Trump"	"NE"	"RealDonaldTrump"	""	""	""
75	8639	"Republican"	"Donald Trump"	"NH"	"RealDonaldTrump"	""	""	""
76	8639	"Republican"	"Donald Trump"	"NJ"	"RealDonaldTrump"	""	""	""
77	8639	"Republican"	"Donald Trump"	"NM"	"RealDonaldTrump"	""	""	""
78	8639	"Republican"	"Donald Trump"	"NV"	"RealDonaldTrump"	""	""	""
79	8639	"Republican"	"Donald Trump"	"NY"	"RealDonaldTrump"	""	""	""
80	8639	"Republican"	"Donald Trump"	"OH"	"RealDonaldTrump"	""	""	""
81	8639	"Republican"	"Donald Trump"	"OK"	"RealDonaldTrump"	""	""	""
82	8639	"Republican"	"Donald Trump"	"OE"	"RealDonaldTrump"	""	""	""
83	8639	"Republican"	"Donald Trump"	"PA"	"RealDonaldTrump"	""	""	""
84	8639	"Republican"	"Donald Trump"	"RI"	"RealDonaldTrump"	""	""	""
85	8639	"Republican"	"Donald Trump"	"SC"	"RealDonaldTrump"	""	""	""
86	8639	"Republican"	"Donald Trump"	"SD"	"RealDonaldTrump"	""	""	""
87	8639	"Republican"	"Donald Trump"	"TN"	"RealDonaldTrump"	""	""	""
88	8639	"Republican"	"Donald Trump"	"TX"	"RealDonaldTrump"	""	""	""
89	8639	"Republican"	"Donald Trump"	"UT"	"RealDonaldTrump"	""	""	""
90	8639	"Republican"	"Donald Trump"	"VA"	"RealDonaldTrump"	""	""	""
91	8639	"Republican"	"Donald Trump"	"VT"	"RealDonaldTrump"	""	""	""
92	8639	"Republican"	"Donald Trump"	"WA"	"RealDonaldTrump"	""	""	""
93	8639	"Republican"	"Donald Trump"	"WI"	"RealDonaldTrump"	""	""	""
94	8639	"Republican"	"Donald Trump"	"WV"	"RealDonaldTrump"	""	""	""
95	8639	"Republican"	"Donald Trump"	"WY"	"RealDonaldTrump"	""	""	""
96	64942	"Republican"	"Doug Burgum"	"ND"	"DougBurgum"	"DougForDakota"	""	""
97	62270	"Republican"	"Doug Collins"	"GA"	"RepDougCollins"	""	""	""
98	3610	"Democrat"	"Doug Jones"	"AL"	"DougJones"	""	""	""
99	69575	"Republican"	"Dustin Murphy"	"LA"	""	""	""	""
100	66830	"Republican"	"Dusty Johnson"	"SD"	"DustyJohnson"	"RepDustyJohnson"	""	""
101	59884	"Libertarian"	"DuWayne Hendrickson"	"ND"	"duwayneh57"	""	""	""
102	69476	"Democrat"	"Ed Tarver"	"GA"	"dtarverga"	""	""	""
103	888	"Democrat"	"Edward Markey"	"MA"	"EdMarkey"	""	""	""
104	18906	"Republican"	"Eric Holcomb"	"IN"	"GovHolcomb"	"HolcombForIN"	""	""
105	69619	"Libertarian"	"Erika Kolenich"	"WV"	"ErikaKolenich"	""	""	""
106	42016	"Libertarian"	"Gary Dye"	"OE"	""	""	""	""
107	24973	"Democrat"	"Gary Peters"	"MI"	"GaryPeters"	""	""	""
108	68506	"Libertarian"	"Gene Siadek"	"NE"	"gsiadek"	""	""	""
109	65131	"Republican"	"Greg Gianforte"	"MT"	"GregForMontana"	"GovGianforte"	""	""
110	32916	"Green Party candidate"	"Howie Hawkins"	"AR"	"HowieHawkins"	""	""	""
111	32916	"Green Party candidate"	"Howie Hawkins"	"CA"	"HowieHawkins"	""	""	""
112	32916	"Green Party candidate"	"Howie Hawkins"	"CO"	"HowieHawkins"	""	""	""
113	32916	"Green Party candidate"	"Howie Hawkins"	"CT"	"HowieHawkins"	""	""	""
114	32916	"Green Party candidate"	"Howie Hawkins"	"DE"	"HowieHawkins"	""	""	""
115	32916	"Green Party candidate"	"Howie Hawkins"	"FL"	"HowieHawkins"	""	""	""
116	32916	"Green Party candidate"	"Howie Hawkins"	"HI"	"HowieHawkins"	""	""	""
117	32916	"Green Party candidate"	"Howie Hawkins"	"IA"	"HowieHawkins"	""	""	""
118	32916	"Green Party candidate"	"Howie Hawkins"	"IL"	"HowieHawkins"	""	""	""
119	32916	"Green Party candidate"	"Howie Hawkins"	"MA"	"HowieHawkins"	""	""	""
120	32916	"Green Party candidate"	"Howie Hawkins"	"MD"	"HowieHawkins"	""	""	""
121	32916	"Green Party candidate"	"Howie Hawkins"	"ME"	"HowieHawkins"	""	""	""
122	32916	"Green Party candidate"	"Howie Hawkins"	"MI"	"HowieHawkins"	""	""	""
123	32916	"Green Party candidate"	"Howie Hawkins"	"MN"	"HowieHawkins"	""	""	""
124	32916	"Green Party candidate"	"Howie Hawkins"	"MO"	"HowieHawkins"	""	""	""
125	32916	"Green Party candidate"	"Howie Hawkins"	"MS"	"HowieHawkins"	""	""	""
126	32916	"Green Party candidate"	"Howie Hawkins"	"NC"	"HowieHawkins"	""	""	""
127	32916	"Green Party candidate"	"Howie Hawkins"	"NJ"	"HowieHawkins"	""	""	""
128	32916	"Green Party candidate"	"Howie Hawkins"	"NM"	"HowieHawkins"	""	""	""
129	32916	"Green Party candidate"	"Howie Hawkins"	"NY"	"HowieHawkins"	""	""	""
130	32916	"Green Party candidate"	"Howie Hawkins"	"SC"	"HowieHawkins"	""	""	""
131	32916	"Green Party candidate"	"Howie Hawkins"	"TX"	"HowieHawkins"	""	""	""
132	32916	"Green Party candidate"	"Howie Hawkins"	"UT"	"HowieHawkins"	""	""	""
133	32916	"Green Party candidate"	"Howie Hawkins"	"VT"	"HowieHawkins"	""	""	""
134	32916	"Green Party candidate"	"Howie Hawkins"	"WA"	"HowieHawkins"	""	""	""
135	32916	"Independent"	"Howie Hawkins"	"OH"	"HowieHawkins"	""	""	""
136	32916	"Independent"	"Howie Hawkins"	"TN"	"HowieHawkins"	""	""	""
137	32916	"Mountain Party candidate"	"Howie Hawkins"	"WV"	"HowieHawkins"	""	""	""
138	32916	"Pacific Green candidate"	"Howie Hawkins"	"OE"	"HowieHawkins"	""	""	""
139	68754	"Democrat"	"Jaime Harrison"	"SC"	"arrisonjaime"	""	""	""
140	69539	"Libertarian"	"Jason Buckley"	"KS"	"JBuckley2020"	""	""	""
141	65484	"Republican"	"Jason Lewis"	"MN"	"LewisForMN"	""	""	""
142	1465	"Democrat"	"Jay Inslee"	"WA"	"JayInslee"	""	""	""
143	1073	"Democrat"	"Jeanne Shaheen"	"NH"	"JeanneShaheen"	""	""	""
144	57469	"Democrat"	"Jeff Merkley"	"OE"	"JeffMerkley"	""	""	""
145	67266	"Green Party candidate"	"Jerome Howard Bauer"	"MO"	""	""	""	""
146	1048	"Republican"	"Jim Inhofe"	"OK"	"nhofeforsenate"	"JimInhofe"	""	""
147	64870	"Republican"	"Jim Justice"	"WV"	"JimJusticeWV"	"WVGovernor"	""	""
148	15344	"Republican"	"Jim Risch"	"ID"	"Risch4Idaho"	"SenatorRisch"	""	""
149	69456	"Libertarian"	"Jimmy Edwards"	"MS"	""	""	""	""
150	67957	"Independent"	"Jo Jorgensen"	"AL"	"Jorgensen4POTUS"	""	""	""
151	67957	"Independent"	"Jo Jorgensen"	"TN"	"Jorgensen4POTUS"	""	""	""
152	67957	"Libertarian"	"Jo Jorgensen"	"AK"	"Jorgensen4POTUS"	""	""	""
153	67957	"Libertarian"	"Jo Jorgensen"	"AR"	"Jorgensen4POTUS"	""	""	""
154	67957	"Libertarian"	"Jo Jorgensen"	"AZ"	"Jorgensen4POTUS"	""	""	""
155	67957	"Libertarian"	"Jo Jorgensen"	"CA"	"Jorgensen4POTUS"	""	""	""
156	67957	"Libertarian"	"Jo Jorgensen"	"CO"	"Jorgensen4POTUS"	""	""	""
157	67957	"Libertarian"	"Jo Jorgensen"	"CT"	"Jorgensen4POTUS"	""	""	""
158	67957	"Libertarian"	"Jo Jorgensen"	"DE"	"Jorgensen4POTUS"	""	""	""
159	67957	"Libertarian"	"Jo Jorgensen"	"FL"	"Jorgensen4POTUS"	""	""	""
160	67957	"Libertarian"	"Jo Jorgensen"	"GA"	"Jorgensen4POTUS"	""	""	""
161	67957	"Libertarian"	"Jo Jorgensen"	"HI"	"Jorgensen4POTUS"	""	""	""
162	67957	"Libertarian"	"Jo Jorgensen"	"IA"	"Jorgensen4POTUS"	""	""	""
163	67957	"Libertarian"	"Jo Jorgensen"	"ID"	"Jorgensen4POTUS"	""	""	""
164	67957	"Libertarian"	"Jo Jorgensen"	"IL"	"Jorgensen4POTUS"	""	""	""
165	67957	"Libertarian"	"Jo Jorgensen"	"IN"	"Jorgensen4POTUS"	""	""	""
166	67957	"Libertarian"	"Jo Jorgensen"	"KS"	"Jorgensen4POTUS"	""	""	""
167	67957	"Libertarian"	"Jo Jorgensen"	"KY"	"Jorgensen4POTUS"	""	""	""
168	67957	"Libertarian"	"Jo Jorgensen"	"LA"	"Jorgensen4POTUS"	""	""	""
169	67957	"Libertarian"	"Jo Jorgensen"	"MA"	"Jorgensen4POTUS"	""	""	""
170	67957	"Libertarian"	"Jo Jorgensen"	"MD"	"Jorgensen4POTUS"	""	""	""
171	67957	"Libertarian"	"Jo Jorgensen"	"ME"	"Jorgensen4POTUS"	""	""	""
172	67957	"Libertarian"	"Jo Jorgensen"	"MI"	"Jorgensen4POTUS"	""	""	""
173	67957	"Libertarian"	"Jo Jorgensen"	"MN"	"Jorgensen4POTUS"	""	""	""
174	67957	"Libertarian"	"Jo Jorgensen"	"MO"	"Jorgensen4POTUS"	""	""	""
175	67957	"Libertarian"	"Jo Jorgensen"	"MS"	"Jorgensen4POTUS"	""	""	""
176	67957	"Libertarian"	"Jo Jorgensen"	"MT"	"Jorgensen4POTUS"	""	""	""
177	67957	"Libertarian"	"Jo Jorgensen"	"NC"	"Jorgensen4POTUS"	""	""	""
178	67957	"Libertarian"	"Jo Jorgensen"	"ND"	"Jorgensen4POTUS"	""	""	""
179	67957	"Libertarian"	"Jo Jorgensen"	"NE"	"Jorgensen4POTUS"	""	""	""
180	67957	"Libertarian"	"Jo Jorgensen"	"NH"	"Jorgensen4POTUS"	""	""	""
181	67957	"Libertarian"	"Jo Jorgensen"	"NJ"	"Jorgensen4POTUS"	""	""	""
182	67957	"Libertarian"	"Jo Jorgensen"	"NM"	"Jorgensen4POTUS"	""	""	""
183	67957	"Libertarian"	"Jo Jorgensen"	"NV"	"Jorgensen4POTUS"	""	""	""
184	67957	"Libertarian"	"Jo Jorgensen"	"NY"	"Jorgensen4POTUS"	""	""	""
185	67957	"Libertarian"	"Jo Jorgensen"	"OH"	"Jorgensen4POTUS"	""	""	""
186	67957	"Libertarian"	"Jo Jorgensen"	"OK"	"Jorgensen4POTUS"	""	""	""
187	67957	"Libertarian"	"Jo Jorgensen"	"OE"	"Jorgensen4POTUS"	""	""	""
188	67957	"Libertarian"	"Jo Jorgensen"	"PA"	"Jorgensen4POTUS"	""	""	""
189	67957	"Libertarian"	"Jo Jorgensen"	"RI"	"Jorgensen4POTUS"	""	""	""
190	67957	"Libertarian"	"Jo Jorgensen"	"SC"	"Jorgensen4POTUS"	""	""	""
191	67957	"Libertarian"	"Jo Jorgensen"	"SD"	"Jorgensen4POTUS"	""	""	""
192	67957	"Libertarian"	"Jo Jorgensen"	"TX"	"Jorgensen4POTUS"	""	""	""
