""	"State_or_Territory"	"Governor"	"Party"	"Inauguration"	"End_Term"	"Primary_Handle"	"Secondary_Handle"	"Primary_Handle_id"	"Secondary_Handle_id"
0	"Alabama"	"Kay Ivey"	"Republican"	"10-Apr-17"	"2023"	"GovernorKayIvey"	""	""	""
1	"Alaska"	"Mike Dunleavy"	"Republican"	"3-Dec-18"	"2022"	"GovDunleavy"	""	""	""
2	"Arizona"	"Doug Ducey"	"Republican"	"5-Jan-15"	"2023"	"dougducey"	""	""	""
3	"Arkansas"	"Asa Hutchinson"	"Republican"	"13-Jan-15"	"2023"	"AsaHutchinson"	""	""	""
4	"California"	"Gavin Newsom"	"Democratic"	"7-Jan-19"	"2023"	"GavinNewsom"	""	""	""
5	"Colorado"	"Jared Polis"	"Democratic"	"8-Jan-19"	"2023"	"GovofCO"	"jaredpolis"	""	""
6	"Connecticut"	"Ned Lamont"	"Democratic"	"9-Jan-19"	"2023"	"GovNedLamont"	""	""	""
7	"Delaware"	"John Carney"	"Democratic"	"17-Jan-17"	"2025"	"JohnCarneyDE"	""	""	""
8	"Florida"	"Ron DeSantis"	"Republican"	"8-Jan-19"	"2023"	"GovRonDeSantis"	"RonDeSantisFL"	""	""
9	"Georgia"	"Brian Kemp"	"Republican"	"14-Jan-19"	"2023"	"GovKemp"	"BrianKempGA"	""	""
10	"Hawaii"	"David Ige"	"Democratic"	"1-Dec-14"	"2022"	"GovHawaii"	"teamdavidige"	""	""
11	"Idaho"	"Brad Little"	"Republican"	"7-Jan-19"	"2023"	"GovernorLittle"	""	""	""
12	"Illinois"	"J. B. Pritzker"	"Democratic"	"14-Jan-19"	"2023"	"GovPritzker"	"JBPritzker"	""	""
13	"Indiana"	"Eric Holcomb"	"Republican"	"9-Jan-17"	"2025"	"GovHolcomb"	""	""	""
14	"Iowa"	"Kim Reynolds"	"Republican"	"24-May-17"	"2023"	"IAGovernor"	"KimReynoldsIA"	""	""
15	"Kansas"	"Laura Kelly"	"Democratic"	"14-Jan-19"	"2023"	"GovLauraKelly"	"LauraKellyKS"	""	""
16	"Kentucky"	"Andy Beshear"	"Democratic"	"10-Dec-19"	"2023"	"GovAndyBeshear"	"AndyBeshearKY"	""	""
17	"Louisiana"	"John Bel Edwards"	"Democratic"	"11-Jan-16"	"2024"	"LouisianaGov"	"JohnBelEdwards"	""	""
18	"Maine"	"Janet Mills"	"Democratic"	"2-Jan-19"	"2023"	"GovJanetMills"	""	""	""
19	"Maryland"	"Larry Hogan"	"Republican"	"21-Jan-15"	"2023"	"GovLarryHogan"	"LarryHogan"	""	""
20	"Massachusetts"	"Charlie Baker"	"Republican"	"8-Jan-15"	"2023"	"MassGovernor"	"CharlieBakerMA"	""	""
21	"Michigan"	"Gretchen Whitmer"	"Democratic"	"1-Jan-19"	"2023"	"GovWhitmer"	"gretchenwhitmer"	""	""
22	"Minnesota"	"Tim Walz"	"DemocraticFarmerLabor"	"7-Jan-19"	"2023"	"GovTimWalz"	"Tim_Walz"	""	""
23	"Mississippi"	"Tate Reeves"	"Republican"	"14-Jan-20"	"2024"	"tatereeves"	""	""	""
24	"Missouri"	"Mike Parson"	"Republican"	"1-Jun-18"	"2025"	"GovParsonMO"	"mikeparson"	""	""
25	"Montana"	"Steve Bullock"	"Democratic"	"January 7th, 2013"	"2021"	"GovernorBullock"	"stevebullockmt"	""	""
26	"Nebraska"	"Pete Ricketts"	"Republican"	"8-Jan-15"	"2023"	"GovRicketts"	""	""	""
27	"Nevada"	"Steve Sisolak"	"Democratic"	"7-Jan-19"	"2023"	"GovSisolak"	"SteveSisolak"	""	""
28	"New Hampshire"	"Chris Sununu"	"Republican"	"5-Jan-17"	"2023"	"GovChrisSununu"	"ChrisSununu"	""	""
29	"New Jersey"	"Phil Murphy"	"Democratic"	"16-Jan-18"	"2022"	"GovMurphy"	""	""	""
30	"New Mexico"	"Michelle Lujan Grisham"	"Democratic"	"1-Jan-19"	"2023"	"GovMLG"	"RepLujanGrisham"	""	""
